dataset,attack_only,train_percentage,n_components,covariance_type,reg_covar,tune_components,selection_metric,accuracy,precision,recall,f1_score
CIC-IDS2017,True,4,3,diag,1e-06,True,f1_score,0.9934933764273108,0.9598709900383252,0.9748290625560688,0.9670522613464608
CIC-IDS2017,True,4,3,diag,1e-06,False,aic,0.9934933764273108,0.9598709900383252,0.9748290625560688,0.9670522613464608
CIC-IDS2017,True,4,3,diag,0.001,True,aic,0.9787577877479852,0.907797873113312,0.965817043731336,0.930281641388869
CIC-IDS2017,True,4,3,diag,0.001,True,accuracy,0.9787577877479852,0.907797873113312,0.965817043731336,0.930281641388869
CIC-IDS2017,True,4,3,diag,0.001,True,f1_score,0.9787577877479852,0.907797873113312,0.965817043731336,0.930281641388869
CIC-IDS2017,True,4,3,diag,0.001,False,aic,0.9787577877479852,0.907797873113312,0.965817043731336,0.930281641388869
CIC-IDS2017,True,8,1,full,1e-09,True,aic,0.9971506942524824,0.9917729209757988,0.9852077590526966,0.9882938756012446
CIC-IDS2017,True,8,1,full,1e-09,True,accuracy,0.9971506942524824,0.9917729209757988,0.9852077590526966,0.9882938756012446
CIC-IDS2017,True,8,1,full,1e-09,True,f1_score,0.9971506942524824,0.9917729209757988,0.9852077590526966,0.9882938756012446
CIC-IDS2017,True,8,3,full,1e-09,False,aic,0.9956622509515404,0.978281153013044,0.9821925696305204,0.9798749153629428
CIC-IDS2017,True,8,1,full,1e-06,True,aic,0.9973845924854876,0.9918222791274626,0.9864099247021936,0.9889553106608804
CIC-IDS2017,True,8,1,full,1e-06,True,accuracy,0.9973845924854876,0.9918222791274626,0.9864099247021936,0.9889553106608804
CIC-IDS2017,True,8,1,full,1e-06,True,f1_score,0.9973845924854876,0.9918222791274626,0.9864099247021936,0.9889553106608804
CIC-IDS2017,True,8,3,full,1e-06,False,aic,0.9959599396117288,0.9791064071572364,0.9830541152892744,0.9806825496878636
CIC-IDS2017,True,8,1,full,0.001,True,aic,0.9952582449127134,0.9759756809558536,0.986286360211082,0.980687545991384
CIC-IDS2017,True,8,2,full,0.001,True,accuracy,0.9961087839418232,0.9793124364841246,0.986846887279087,0.9828327946648984
CIC-IDS2017,True,8,2,full,0.001,True,f1_score,0.9961087839418232,0.9793124364841246,0.986846887279087,0.9828327946648984
CIC-IDS2017,True,8,3,full,0.001,False,aic,0.9957685683301792,0.9766948495913332,0.9828312930234652,0.9794096068360164
CIC-IDS2017,True,8,1,tied,1e-09,True,aic,0.9971506942524824,0.9917729209757988,0.9852077590526966,0.9882938756012446
CIC-IDS2017,True,8,1,tied,1e-09,True,accuracy,0.9971506942524824,0.9917729209757988,0.9852077590526966,0.9882938756012446
CIC-IDS2017,True,8,1,tied,1e-09,True,f1_score,0.9971506942524824,0.9917729209757988,0.9852077590526966,0.9882938756012446
CIC-IDS2017,True,8,3,tied,1e-09,False,aic,0.9968955325437496,0.9903230455093928,0.9823980463690188,0.9861126017841096
CIC-IDS2017,True,8,1,tied,1e-06,True,aic,0.9973845924854876,0.9918222791274626,0.9864099247021936,0.9889553106608804
CIC-IDS2017,True,8,1,tied,1e-06,True,accuracy,0.9973845924854876,0.9918222791274626,0.9864099247021936,0.9889553106608804
CIC-IDS2017,True,8,1,tied,1e-06,True,f1_score,0.9973845924854876,0.9918222791274626,0.9864099247021936,0.9889553106608804
CIC-IDS2017,True,8,3,tied,1e-06,False,aic,0.9973420655340322,0.9918077332103304,0.9857161906714236,0.9885921290547096
CIC-IDS2017,True,8,3,tied,0.001,True,aic,0.9960024665631844,0.9797737025964912,0.9857948147962348,0.9825310726156192
CIC-IDS2017,True,8,3,tied,0.001,True,accuracy,0.9960024665631844,0.9797737025964912,0.9857948147962348,0.9825310726156192
CIC-IDS2017,True,8,3,tied,0.001,True,f1_score,0.9960024665631844,0.9797737025964912,0.9857948147962348,0.9825310726156192
CIC-IDS2017,True,8,3,tied,0.001,False,aic,0.9960024665631844,0.9797737025964912,0.9857948147962348,0.9825310726156192
CIC-IDS2017,True,8,1,diag,1e-09,True,aic,0.961109102893959,0.834753764815935,0.9535455756872432,0.867758206784761
CIC-IDS2017,True,8,3,diag,1e-09,True,accuracy,0.992897999106934,0.955960374610308,0.973572506372306,0.964189124628671
CIC-IDS2017,True,8,3,diag,1e-09,True,f1_score,0.992897999106934,0.955960374610308,0.973572506372306,0.964189124628671
CIC-IDS2017,True,8,3,diag,1e-09,False,aic,0.992897999106934,0.955960374610308,0.973572506372306,0.964189124628671
CIC-IDS2017,True,8,1,diag,1e-06,True,aic,0.9615131089327862,0.8321388661701455,0.95223559296681,0.8662147291993684
CIC-IDS2017,True,8,3,diag,1e-06,True,accuracy,0.9923451487380128,0.9539116580105814,0.9733752283948028,0.9631450133390028
CIC-IDS2017,True,8,3,diag,1e-06,True,f1_score,0.9923451487380128,0.9539116580105814,0.9733752283948028,0.9631450133390028
CIC-IDS2017,True,8,3,diag,1e-06,False,aic,0.9923451487380128,0.9539116580105814,0.9733752283948028,0.9631450133390028
CIC-IDS2017,True,8,3,diag,0.001,True,aic,0.9789916859809904,0.8957195592530893,0.9671988843675264,0.9259033904429196
CIC-IDS2017,True,8,3,diag,0.001,True,accuracy,0.9789916859809904,0.8957195592530893,0.9671988843675264,0.9259033904429196
CIC-IDS2017,True,8,3,diag,0.001,True,f1_score,0.9789916859809904,0.8957195592530893,0.9671988843675264,0.9259033904429196
CIC-IDS2017,True,8,3,diag,0.001,False,aic,0.9789916859809904,0.8957195592530893,0.9671988843675264,0.9259033904429196
CIC-IDS2017,True,16,1,full,1e-09,True,aic,0.9982138680388696,0.9932958013093742,0.9908252188265426,0.9920055681681856
CIC-IDS2017,True,16,2,full,1e-09,True,accuracy,0.9981926045631418,0.9911168439860928,0.988838411965764,0.989940440408358
CIC-IDS2017,True,16,1,full,1e-09,True,f1_score,0.9982138680388696,0.9932958013093742,0.9908252188265426,0.9920055681681856
CIC-IDS2017,True,16,3,full,1e-09,False,aic,0.9969380594952052,0.9833312677945522,0.9883952286724556,0.9856796275382574
CIC-IDS2017,True,16,1,full,1e-06,True,aic,0.9983627123689638,0.9927407537896786,0.993326225956816,0.9930067029439292
CIC-IDS2017,True,16,1,full,1e-06,True,accuracy,0.9983627123689638,0.9927407537896786,0.993326225956816,0.9930067029439292
CIC-IDS2017,True,16,1,full,1e-06,True,f1_score,0.9983627123689638,0.9927407537896786,0.993326225956816,0.9930067029439292
CIC-IDS2017,True,16,3,full,1e-06,False,aic,0.9977885985243148,0.9879015582472928,0.9880431805011992,0.9878761845523222
CIC-IDS2017,True,16,3,full,0.001,True,aic,0.9960024665631844,0.9769608025914716,0.9848575330017506,0.980570037205
CIC-IDS2017,True,16,2,full,0.001,True,accuracy,0.9963852091262838,0.9815599849155618,0.9905196909610148,0.9857666443981946
CIC-IDS2017,True,16,2,full,0.001,True,f1_score,0.9963852091262838,0.9815599849155618,0.9905196909610148,0.9857666443981946
CIC-IDS2017,True,16,3,full,0.001,False,aic,0.9960024665631844,0.9769608025914716,0.9848575330017506,0.980570037205
CIC-IDS2017,True,16,1,tied,1e-09,True,aic,0.9982138680388696,0.9932958013093742,0.9908252188265426,0.9920055681681856
CIC-IDS2017,True,16,2,tied,1e-09,True,accuracy,0.9981075506602308,0.9925339943647415,0.9899377498879556,0.9911664986957744
CIC-IDS2017,True,16,2,tied,1e-09,True,f1_score,0.9981075506602308,0.9925339943647415,0.9899377498879556,0.9911664986957744
CIC-IDS2017,True,16,3,tied,1e-09,False,aic,0.9981075506602308,0.9925339943647415,0.9899377498879556,0.9911664986957744
CIC-IDS2017,True,16,1,tied,1e-06,True,aic,0.9983627123689638,0.9927407537896786,0.993326225956816,0.9930067029439292
CIC-IDS2017,True,16,2,tied,1e-06,True,accuracy,0.9983627123689638,0.9927407537896786,0.993326225956816,0.9930067029439292
CIC-IDS2017,True,16,2,tied,1e-06,True,f1_score,0.9983627123689638,0.9927407537896786,0.993326225956816,0.9930067029439292
CIC-IDS2017,True,16,3,tied,1e-06,False,aic,0.9983627123689638,0.9927407537896786,0.993326225956816,0.9930067029439292
CIC-IDS2017,True,16,3,tied,0.001,True,aic,0.9964915265049225,0.9818411354479072,0.9898464147966394,0.9856054523003276
CIC-IDS2017,True,16,3,tied,0.001,True,accuracy,0.9964915265049225,0.9818411354479072,0.9898464147966394,0.9856054523003276
CIC-IDS2017,True,16,3,tied,0.001,True,f1_score,0.9964915265049225,0.9818411354479072,0.9898464147966394,0.9856054523003276
CIC-IDS2017,True,16,3,tied,0.001,False,aic,0.9964915265049225,0.9818411354479072,0.9898464147966394,0.9856054523003276
CIC-IDS2017,True,16,2,diag,1e-09,True,aic,0.9935359033787664,0.9574239732981068,0.9715411141917764,0.9642490768921856
CIC-IDS2017,True,16,2,diag,1e-09,True,accuracy,0.9935359033787664,0.9574239732981068,0.9715411141917764,0.9642490768921856
CIC-IDS2017,True,16,3,diag,1e-09,True,f1_score,0.993387059048672,0.9599046582003056,0.9787640337446226,0.9687032371110604
CIC-IDS2017,True,16,3,diag,1e-09,False,aic,0.993387059048672,0.9599046582003056,0.9787640337446226,0.9687032371110604
CIC-IDS2017,True,16,3,diag,1e-06,True,aic,0.989113100427396,0.9386424810960192,0.9702993420941394,0.9530885711677624
CIC-IDS2017,True,16,3,diag,1e-06,True,accuracy,0.989113100427396,0.9386424810960192,0.9702993420941394,0.9530885711677624
CIC-IDS2017,True,16,3,diag,1e-06,True,f1_score,0.989113100427396,0.9386424810960192,0.9702993420941394,0.9530885711677624
CIC-IDS2017,True,16,3,diag,1e-06,False,aic,0.989113100427396,0.9386424810960192,0.9702993420941394,0.9530885711677624
CIC-IDS2017,True,16,3,diag,0.001,True,aic,0.9755470029130962,0.9005507144395192,0.9685378147379002,0.9262278377451914
CIC-IDS2017,True,16,3,diag,0.001,True,accuracy,0.9755470029130962,0.9005507144395192,0.9685378147379002,0.9262278377451914
CIC-IDS2017,True,16,3,diag,0.001,True,f1_score,0.9755470029130962,0.9005507144395192,0.9685378147379002,0.9262278377451914
CIC-IDS2017,True,16,3,diag,0.001,False,aic,0.9755470029130962,0.9005507144395192,0.9685378147379002,0.9262278377451914
CIC-IDS2017,True,32,2,full,1e-09,True,aic,0.9991281974951626,0.9972417342068978,0.993477469439216,0.9953514111782776
CIC-IDS2017,True,32,2,full,1e-09,True,accuracy,0.9991281974951626,0.9972417342068978,0.993477469439216,0.9953514111782776
CIC-IDS2017,True,32,2,full,1e-09,True,f1_score,0.9991281974951626,0.9972417342068978,0.993477469439216,0.9953514111782776
CIC-IDS2017,True,32,3,full,1e-09,False,aic,0.9973208020583044,0.9869380886233412,0.9930742357845368,0.9897827206022428
